gene_ids
1700047M11Rik
4933406I18Rik
6530403H02Rik
9530026P05Rik
A830018L16Rik
Abcb1a
Abcc4
Adarb2
Adk
Agap1
Akap13
Alcam
Alk
Angpt1
Ano4
Apbb1ip
Apod
Apoe
Arhgap23
Arhgap25
Arhgap29
Arhgap6
Aspa
Asph
Atp10a
Atp13a5
Atp1a2
B3gnt2
Bcas1
Bicc1
Bmpr1b
Brinp3
C030029H02Rik
Cadps2
Camk2d
Car2
Car4
Cd74
Cdc37l1
Cdh13
Cdh18
Cdh19
Cdh9
Cdk19
Cemip
Chrm2
Cldn11
Cnr1
Cntn5
Cntn6
Cntnap4
Cntnap5a
Cntnap5b
Cntnap5c
Coch
Col25a1
Col8a1
Colec12
Cpe
Cpeb2
Cped1
Cpne4
Crim1
Csmd3
Cst3
Ctnna3
Cyp39a1
D7Ertd443e
Dab2
Dcc
Ddah1
Dlc1
Dnm3
Dock10
Dock2
Dock4
Dpyd
Dscaml1
Dtna
Ebf1
Eda
Edil3
Egfem1
Elmo1
Enpp2
Epb41l2
Epha6
Erbb4
Erbin
Extl3
F13a1
Fam13c
Fbn2
Fbxl7
Fgf13
Fmnl2
Fnbp1
Foxp2
Frmd4a
Frmd5
Fstl5
Gad2
Galntl6
Gatm
Ghr
Gjc3
Gm16168
Gm20754
Gm26670
Gm34544
Gm3764
Gm4258
Gm4876
Gng12
Gpc5
Gpr62
Grb14
Grik1
Grin3a
Grip1
Grm1
Grm3
Grm8
Gulp1
Heg1
Herc6
Hexb
Hs3st4
Hspb3
Igf1r
Ighd
Ighm
Igsf11
Il17ra
Il1rap
Il1rapl2
Inpp4b
Inpp5d
Itga4
Jam3
Kcna1
Kcnab1
Kcnc2
Kcnip1
Kcnmb2
Kcnn2
Kctd8
Kif13b
Kirrel3
Klf12
Lama4
Lcorl
Lhfpl3
Lifr
Luzp2
Maf
Mag
Mal
Maml3
Man1a
Map7
Mbnl1
Mbp
Mcc
Mctp1
Mef2a
Mertk
Mgat4c
Milr1
Mir99ahg
Mobp
Mog
Mrc1
Msi2
Myo1b
Naaladl2
Neat1
Neurl3
Nfasc
Nfia
Nnat
Nos1
Npas3
Npnt
Npy
Nr3c2
Nr4a2
Nrp1
Nuak1
Numb
Nxn
Nxph1
Olfm3
Pak1
Pakap
Pcdh11x
Pcdh15
Pcsk5
Pde3b
Pde8a
Pdlim5
Peli1
Pex5l
Phactr2
Phlpp1
Pik3r3
Pitpnc1
Pkp4
Plcl1
Plcl2
Pld5
Plp1
Plxdc2
Ppfibp1
Ppp1r16b
Prag1
Prex1
Prex2
Prkd1
Prr16
Prr5l
Prtg
Ptbp3
Ptgds
Ptn
Ptprg
Ptprj
Ptprm
Ptprz1
Qk
Ranbp3l
Rap1gds1
Rapgef5
Rassf3
Rbms3
Rbpj
Rgs20
Rmst
Rnf220
Rorb
Scd2
Sdk1
Sec14l5
Sema5a
Sema6d
Sept4
Sept7
Sgcd
Sgk1
Sgk3
Sgms1
Sh3kbp1
Shisa6
Slc12a2
Slc12a6
Slc1a2
Slc1a3
Slc24a2
Slc24a3
Slc4a4
Slc6a20a
Slc7a11
Slc9a9
Slit2
Sorcs1
Sorcs3
Sox2ot
Sox6
Sparcl1
Spock3
Srgap2
St18
St6galnac3
Stab1
Stxbp6
Synpr
Sytl2
Tafa1
Tafa2
Tanc2
Tbc1d5
Tenm1
Tenm3
Tgfbr1
Thsd7a
Thsd7b
Timp3
Tle4
Tmcc3
Tmeff2
Tmem108
Tmtc2
Tnfrsf19
Tnr
Tox
Trf
Trhde
Trpm3
Trps1
Tshz1
Tshz2
Tspan2
Tspan7
Ugt8a
Unc5c
Unc5d
Utrn
Vcan
Vgll4
Vmp1
Vtn
Vwc2l
Wdr17
Wls
Zbtb20
Zfhx3
Zfhx4
Zfp536
Zfp804a
Zfp804b
Zfpm2
